x	y	aper	diag	Ha	Hb	OIII	SII	NIIa	SIIa	SIIb	NII	dens_5000.0	dens_10000.0	dens_30000.0	dens_50000.0	vel
616.7679	17.5497	2.679	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.480864573432098e-17	2.135000398857187e-18	1.5655861692599682e-18	1.2962437070647814e-17	4.106759993814616e-18	7.565466469093489e-18	5.396970601554326e-18	5.4955503278111176e-18	48.27362019663342	48.27362019663342	nan	nan	92.62512762637743
574.984	44.2983	2.844	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.682939577913302e-16	6.969615895309683e-17	1.7207891118531464e-16	2.088086145462018e-16	1.1636988957502066e-16	9.010561607911498e-17	1.1870299846708683e-16	1.5572290218190354e-16	1415.5613534657787	1904.7556558141848	2922.972685951937	3756.0062913444685	110.29169506049459
594.1961	50.9967	3.7371168	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.050698778439706e-16	2.977351280559893e-17	3.207041704089647e-17	5.56065144631303e-17	2.5841933147144954e-17	3.4846088748748426e-17	2.076042571438187e-17	3.45809456583686e-17	nan	nan	nan	nan	117.91691986744979
370.5566	43.1349	3.23	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.321133658573508e-17	7.056394775605995e-18	7.156211669167365e-18	1.3293559385045536e-17	5.401054443329749e-18	5.317261987442852e-18	7.976297397602684e-18	7.227538634171854e-18	2262.7005685656927	3030.88570959951	4605.648903011777	5878.144138644298	212.81252294586955
698.3193	44.6431	2.881	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.1568440491766014e-17	5.455838697681592e-18	3.2034404571572394e-18	1.1981739122743137e-17	3.8625029990975964e-18	6.7709779306126256e-18	5.210761192130512e-18	5.168692510600214e-18	128.6694910906206	157.53754255768436	171.96260170078793	196.1141445827077	198.68258095994435
970.0449	104.0099	6.7735704	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.4418959731301405e-15	4.199438295743191e-16	3.602907083551361e-16	7.316172787267653e-16	2.88298442102772e-16	4.296545224705114e-16	3.0196275625625397e-16	3.85792839219141e-16	34.75542408672053	29.169078621515443	nan	nan	128.13790150584245
434.5745	74.5998	7.532	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' '']	6.201277507699322e-16	2.0440780484417372e-16	1.6000954145415133e-16	2.4329937011907263e-16	1.1778787815857525e-16	1.4333507826577748e-16	9.996429185329514e-17	1.5762041448769264e-16	26.722234481547595	18.822313745983234	nan	nan	135.6668734523954
482.98071	216.89661	3.9907236	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.5482095833446429e-15	4.2224430708414625e-16	2.6335615724490285e-16	7.348457012721876e-16	4.532498902225803e-16	4.255425825033392e-16	3.0930311876884825e-16	6.065262120368977e-16	67.04974743148651	73.18921461198543	35.52508103782977	16.146768263076986	178.6242999629735
408.3687	75.1064	3.837	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.6334017829904259e-16	4.616382593142232e-17	6.77468089061322e-17	1.0711278502749053e-16	4.025056889301975e-17	6.400464594567489e-17	4.310813908181564e-17	5.386217539076472e-17	nan	nan	nan	nan	129.52354745802208
376.3844	84.1134	3.884	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	3.195091128990172e-16	1.0143184793209387e-16	1.9170791372270156e-16	1.119197257770317e-16	6.261554694657225e-17	6.223139208859072e-17	4.968833368844098e-17	8.379035786522294e-17	171.96260170078793	218.9774329977871	272.3931581773022	324.56080816314216	152.9088005251248
