x	y	aper	diag	Ha	Hb	OIII	SII	NIIa	SIIa	SIIb	NII	dens_5000.0	dens_10000.0	dens_30000.0	dens_50000.0	vel
348.00482	890.21615	3.5807581	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.913929165822168e-17	1.1534965935772488e-17	7.808016652756641e-18	5.384002057570777e-17	3.2041689861541164e-17	3.152908150256003e-17	2.2310939073147736e-17	4.2877285131691924e-17	40.51445378273449	37.11590441103234	nan	nan	104.71202785137902
879.2472	890.1417	3.222	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.6934815012202308e-17	3.842139638936687e-18	1.9000195855498497e-18	9.80455423514892e-18	5.510830175963738e-18	5.880958467158425e-18	3.923595767990496e-18	7.374437421627422e-18	nan	nan	nan	nan	97.5985395215423
570.66128	851.47026	6.4235553	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.6571881701362305e-16	7.48000089735321e-17	2.0681603601503753e-16	4.385987026143198e-16	5.612495646347761e-16	2.639281125981189e-16	1.7467059001620094e-16	7.510483285017902e-16	nan	nan	nan	nan	nan
1273.5353	869.3621	7.55332	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.401366684889155e-16	5.039211929331989e-17	1.2183828238155477e-16	5.2439208251854284e-17	7.369526237761403e-17	2.908604329292801e-17	2.335316495892627e-17	9.861692037698976e-17	179.66313659361543	228.61057390671976	284.5910023501971	343.7362601160293	145.17734039368798
274.9198	869.98826	4.3951163	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.5572019350451645e-17	8.300492596213007e-18	1.7518299351662537e-17	2.1935536081121186e-17	1.8812337276721117e-17	1.3517221452225339e-17	8.418314628895845e-18	2.5174138845145498e-17	nan	nan	nan	nan	109.36721739214369
609.5372	847.10899	6.815288	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.986770777188373e-16	4.8205456068386356e-17	7.249616506057535e-17	1.4593232257833368e-16	1.8655762549736063e-16	8.630711764419493e-17	5.962520493413875e-17	2.496461496415279e-16	18.414525102373158	6.7233575364993365	nan	nan	144.67564796175927
1350.4198	848.39177	4.5129253	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.846462670924278e-16	4.800397264306237e-17	1.8194228485653013e-16	1.761628857612433e-16	1.2944952744796281e-16	1.0436583370322365e-16	7.179705205801967e-17	1.7322570446607874e-16	14.158286672726113	1.0	nan	nan	156.03863726295646
719.9939	841.947	3.166966	['' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	7.99598308302412e-18	3.862326861599074e-18	6.146208272013126e-17	1.7042687059316584e-18	1.132118327392859e-18	6.373219112144852e-20	1.64053651481021e-18	1.5149687964710528e-18	nan	nan	nan	nan	647.6014519425756
592.5605	839.9494	2.759	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.0647219960575284e-17	4.612977258285266e-18	6.587969581861746e-17	8.050654680451875e-18	1.1901238321976225e-17	5.762364049271125e-18	2.2882906311807504e-18	1.5925901260410264e-17	nan	nan	nan	nan	nan
711.30534	828.55989	5.2836367	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	9.506694705760812e-17	2.400025584089122e-17	1.7661833358286067e-17	4.8003152601472555e-17	6.61685815216236e-17	2.891691687881715e-17	1.9086235722655408e-17	8.854492846420035e-17	nan	nan	nan	nan	124.22265214360442
