RA,Dec,$F_{abs}$,$F_{unabs}$,flux_abs_err,flux_unabs_err,log($L_{abs}$),log10($L_{unabs}$),lumi_abs_err,lumi_unabs_err,Broad S/N,Detected in bands
24.1829813,15.7993186,5.409411764489986e-16,6.739019701797352e-16,2.265348962069279e-16,2.8221610687960625e-16,36.68317334010841,36.77862002495786,0.1519148033052673,0.1519148033052673,2.387893368776512,"['medium', 'soft']"
24.1989824,15.7906145,3.6901997801060776e-16,4.597233507892843e-16,1.8465852370790059e-16,2.300467192276464e-16,36.51707317754524,36.6125198623947,0.17620778237341028,0.17620778237340318,1.9983912499719574,"['medium', 'soft']"
24.1768352,15.7835827,1.0049691285369115e-15,1.2519858076559073e-15,3.064067757836928e-16,3.817201183177432e-16,36.95217601985533,37.04762270470478,0.11557447857659042,0.11557447857659042,3.279852822988377,['soft']
24.1670393,15.7736928,1.0863428557889279e-15,1.3533608138552597e-15,3.2020272435844103e-16,3.989070460832573e-16,36.98599021152411,37.08143689637357,0.11218689774506174,0.11218689774505464,3.3926721203435326,"['medium', 'soft']"
24.1873178,15.7628483,1.803876131370718e-15,2.247260389513977e-15,4.1346087092651566e-16,5.150876058995636e-16,37.206230010987895,37.301676695837344,0.08962499236190524,0.08962499236191235,4.362870245323216,"['hard', 'medium', 'soft']"
